school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2020-2021,7820612,"Ivy Preparatory Academy, Inc",E,1a-na,Content Mastery Non-Adjusted,percentage,TFS,7.871357011398793,"",""
2022-2023,7820615,Scintilla Charter Academy,Whole School Score,2b,Progress,percentage,74.11343283582089,82.3933514246947,83.21709633649934,N
2021-2022,7820615,Scintilla Charter Academy,M,1a,Content Mastery,percentage,84.4,57.6,57.7,Y
2022-2023,7830628,Ethos Classical Charter School,E,1d,Value-Add,decimal,"","","",""
2021-2022,7830621,SLAM Academy of Atlanta,M,1b,Progress,percentage,"","","",""
2022-2023,7830210,Pataula Charter Academy,H,1b,Progress,percentage,93.6,92.21797752808989,92.90955056179774,Y
2021-2022,7830210,Pataula Charter Academy,E,1a,Content Mastery,percentage,49.1,32.3,32.3,Y
2020-2021,7820121,Utopian Academy for the Arts Charter School,M,1a-a,Content Mastery Adjusted,percentage,7.906097156791037,5.996495005137104,"",Y
2021-2022,7830410,Atlanta Heights Charter School,M,1a,Content Mastery,percentage,34.6,29.1,47.9,Y
2022-2023,7830630,Baconton Community Charter School,H,1d,Value-Add,decimal,0.06731448322534561,-0.1656259677838534,-0.1629198048321996,Y
2020-2021,7820615,Scintilla Charter Academy,M,1a-a,Content Mastery Adjusted,percentage,60.64073242924245,43.333697752230094,"",Y
2022-2023,7820617,Dubois Integrity Academy,E,1a,Content Mastery,percentage,45.1,37.0,40.82882136279927,Y
2020-2021,7820120,Georgia Cyber Academy,E,1f,GaDOE Achievement,percentage,49.5169,46.02677236586942,"",Y
2021-2022,7830623,Academy For Classical Education,E,1b,Progress,percentage,85.9,86.7,"",S
2022-2023,7830614,Liberty Tech Charter Academy,M,1c,Grade Band Score,percentage,79.01,77.48707407407407,78.43137037037037,Y
2020-2021,7830617,Resurgence Hall Charter School,E,1a-a,Content Mastery Adjusted,percentage,72.27094106498642,12.775167719489637,"",Y
2021-2022,7830310,Fulton Leadership Academy,H,1a,Content Mastery,percentage,26,37.2,65.6,N
2020-2021,7820616,Georgia School for Innovation and the Classics,H,1f,GaDOE Achievement,percentage,45.262800000000006,26.21083333333333,"",Y
2022-2023,7830610,Coweta Charter Academy,E,1a,Content Mastery,percentage,71.6,64.46692307692308,67.67615384615387,Y
2022-2023,7830611,Cirrus Charter Academy,E,1b,Progress,percentage,61.2,71.29888268156425,76.740782122905,N
2021-2022,7830210,Pataula Charter Academy,Whole School Score,2a,Content Mastery,percentage,51.04024390243903,33.027652420720344,"",Y
2020-2021,7830619,International Academy of Smyrna,E,1a-na,Content Mastery Non-Adjusted,percentage,46.951887526616375,34.09958011333706,"",Y
2021-2022,7830614,Liberty Tech Charter Academy,E,1d,Value-Add,decimal,-0.0657,0.0072,"",S
2020-2021,7820412,Georgia Connections Academy,E,1a-a,Content Mastery Adjusted,percentage,13.207285801683962,42.77570964510901,"",N
2020-2021,7820121,Utopian Academy for the Arts Charter School,M,1f,GaDOE Achievement,percentage,32.72625,33.92165361445783,"",""
2022-2023,7820614,International Charter School of Atlanta,M,1b,Progress,percentage,86,85.65138121546961,83.60220994475138,S
2022-2023,7820612,"Ivy Preparatory Academy, Inc",Whole School Score,2d,Value-Add,decimal,0.020922552794218063,0.06684942010724626,0.05226809144096478,N
2021-2022,7830630,Baconton Community Charter School,E,1b,Progress,percentage,80.9,79.1,"",Y
2021-2022,7820612,Ivy Preparatory Academy,M,1d,Value-Add,decimal,0.2611,0.1135,"",S
2022-2023,7830619,International Academy of Smyrna,Whole School Score,2b,Progress,percentage,93,83.36897590361444,86.57771084337348,Y
2020-2021,7830634,Georgia Fugees Academy Charter School,M,1a-na,Content Mastery Non-Adjusted,percentage,TFS,22.26013368867749,"",""
2020-2021,7830210,Pataula Charter Academy,H,1a-a,Content Mastery Adjusted,percentage,TFS,7.543729320801635,"",""
2020-2021,7830310,Fulton Leadership Academy,M,1f,GaDOE Achievement,percentage,30.619999999999997,35.566776649746195,"",N
2022-2023,7820412,Georgia Connections Academy,E,1a,Content Mastery,percentage,50.2,54.9705874944614,59.91192939744372,N
2021-2022,7830618,SAIL Charter Academy - School for Arts-Infused Learning,M,1b,Progress,percentage,62.5,72.7,"",N
2020-2021,7830623,Academy For Classical Education,H,1a-na,Content Mastery Non-Adjusted,percentage,86.31194300000001,24.095220313780263,"",Y
2020-2021,7830310,Fulton Leadership Academy,M,1a-a,Content Mastery Adjusted,percentage,16.48024833810731,7.19430572788665,"",Y
2022-2023,7830210,Pataula Charter Academy,Whole School Score,2a,Content Mastery,percentage,55.18771331058021,38.18105802047782,38.195733788395906,Y
2021-2022,7820612,Ivy Preparatory Academy,Whole School Score,2a,Content Mastery,percentage,46.90465686274509,32.696051790281324,"",Y
2021-2022,7830623,Academy For Classical Education,E,1a,Content Mastery,percentage,97.5,57.0,45.1,Y
2022-2023,7830624,Spring Creek Charter Academy,H,1a,Content Mastery,percentage,42.9,56.64,53.88000000000001,N
